sample_id,dx_norm_mean,dx_norm_std,dy_norm_mean,dy_norm_std,fraction_dx_abs_001,fraction_dx_abs_002,fraction_dx_abs_005,fraction_dy_abs_001,fraction_dy_abs_002,fraction_dy_abs_005,abs_dx_diag_mae,abs_dy_diag_mae,sign_lost,status
sample_000058,0.0331995972346241,0.0860093643379658,-0.07781897252988071,0.2139968271408899,0.7053571428571429,0.7366071428571429,0.8214285714285714,0.0625,0.6785714285714286,0.7321428571428571,3.595039475492096e-10,1.1365799116509584e-09,True,sign_lost_not_trajectory_reconstructable
sample_000059,0.1302292025660752,0.18440290402068912,-0.13443307677867627,0.2766017528111172,0.3080357142857143,0.3482142857142857,0.49107142857142855,0.017857142857142856,0.3169642857142857,0.38392857142857145,1.2631703688785787e-09,2.1328543419584184e-09,True,sign_lost_not_trajectory_reconstructable
sample_000060,-0.22701486494902876,0.2861961905120876,-0.014491166593664732,0.09091161211237289,0.3080357142857143,0.32142857142857145,0.36607142857142855,0.0625,0.45982142857142855,0.5892857142857143,3.1285745321079753e-09,7.159655000467971e-10,True,sign_lost_not_trajectory_reconstructable
sample_000061,0.07482690431208383,0.2496576303482949,0.1650944872035531,0.20461346267333172,0.2857142857142857,0.375,0.45982142857142855,0.044642857142857144,0.24553571428571427,0.33482142857142855,2.136041781172762e-09,1.960738681659262e-09,True,sign_lost_not_trajectory_reconstructable
sample_000062,-0.1600901550854292,0.27068718244051143,-0.14057709154621273,0.22441580638476616,0.35267857142857145,0.375,0.46875,0.013392857142857142,0.32589285714285715,0.38392857142857145,2.2546242237025378e-09,1.8108322735296078e-09,True,sign_lost_not_trajectory_reconstructable
sample_000063,-0.16440586916353242,0.23587333695743462,0.10674655319858879,0.22380063441007214,0.17857142857142858,0.19642857142857142,0.3169642857142857,0.05357142857142857,0.25,0.4017857142857143,1.8569782466264644e-09,1.557523107049656e-09,True,sign_lost_not_trajectory_reconstructable
sample_000064,0.04623108144580607,0.18561151009384233,0.15667172475648053,0.21518721786394998,0.22321428571428573,0.3080357142857143,0.4419642857142857,0.05357142857142857,0.16964285714285715,0.33035714285714285,1.6625108721486449e-09,2.1664802394166457e-09,True,sign_lost_not_trajectory_reconstructable
sample_000065,-0.19917941744347514,0.2605183545796826,-0.043872410988049775,0.19131258042384147,0.3169642857142857,0.32142857142857145,0.375,0.022321428571428572,0.3482142857142857,0.42857142857142855,2.5474953491033572e-09,1.387517949562084e-09,True,sign_lost_not_trajectory_reconstructable
sample_000066,0.1072233064131074,0.19202968989468866,-0.19098460672048226,0.27268967027269125,0.25892857142857145,0.27232142857142855,0.32589285714285715,0.008928571428571428,0.26339285714285715,0.38392857142857145,1.5313977511978886e-09,2.4434418678886404e-09,True,sign_lost_not_trajectory_reconstructable
sample_000067,-0.1221388606307195,0.24961157621143343,-0.15035302338193432,0.18931407148992102,0.2767857142857143,0.3125,0.5223214285714286,0.04017857142857143,0.3482142857142857,0.46875,1.951629212470748e-09,1.6901486678920085e-09,True,sign_lost_not_trajectory_reconstructable
sample_000068,-0.22215936221894386,0.30037031480885323,-0.15359906555701724,0.17378501159558546,0.1875,0.22321428571428573,0.42410714285714285,0.044642857142857144,0.25,0.39285714285714285,3.128547496566027e-09,1.9401182861590507e-09,True,sign_lost_not_trajectory_reconstructable
sample_000069,0.06125822658667014,0.21777371535424778,-0.03634785057255633,0.25573720155981655,0.46875,0.4955357142857143,0.6160714285714286,0.022321428571428572,0.48214285714285715,0.5535714285714286,1.2058484772517666e-09,1.915242356289841e-09,True,sign_lost_not_trajectory_reconstructable
sample_000070,0.09334710486432918,0.2151165402537113,0.1402798635880096,0.2209936715529994,0.26339285714285715,0.33482142857142855,0.45089285714285715,0.022321428571428572,0.14732142857142858,0.2544642857142857,1.6080551419853307e-09,2.099881097003437e-09,True,sign_lost_not_trajectory_reconstructable
sample_000071,0.20897736001827286,0.23440898669408802,-0.1330825146528185,0.2539796460202175,0.12946428571428573,0.14285714285714285,0.22767857142857142,0.017857142857142856,0.14732142857142858,0.35714285714285715,2.649807099187027e-09,2.170145472128359e-09,True,sign_lost_not_trajectory_reconstructable
sample_000072,-0.01880955841135761,0.20440208992109887,-0.136679233673322,0.25778618082015536,0.5178571428571429,0.5446428571428571,0.6205357142857143,0.04017857142857143,0.5178571428571429,0.5669642857142857,8.247152422417765e-10,1.5534040020645378e-09,True,sign_lost_not_trajectory_reconstructable
sample_000073,0.15408241119438917,0.2577668387698475,0.055641595227664896,0.14357072384873454,0.38392857142857145,0.4330357142857143,0.48660714285714285,0.022321428571428572,0.3392857142857143,0.48660714285714285,2.1666247038412187e-09,1.2240996682930304e-09,True,sign_lost_not_trajectory_reconstructable
sample_000074,0.015738212884342788,0.07376044976746131,-0.052584579604949,0.22969356917276154,0.6830357142857143,0.7098214285714286,0.7857142857142857,0.05357142857142857,0.6517857142857143,0.7053571428571429,3.5372587016519147e-10,1.3840792776394264e-09,True,sign_lost_not_trajectory_reconstructable
sample_000075,0.05079852388565077,0.21921407093196912,0.14595717831591568,0.22286859388627087,0.13839285714285715,0.26785714285714285,0.39285714285714285,0.07589285714285714,0.1875,0.29017857142857145,1.8195611892110238e-09,2.0903540853216453e-09,True,sign_lost_not_trajectory_reconstructable
sample_000076,-0.08416810264288545,0.2276846104147453,-0.005880681225623471,0.20914480675368166,0.33035714285714285,0.33482142857142855,0.39732142857142855,0.09821428571428571,0.47767857142857145,0.59375,1.8959465451198085e-09,1.3572040802682212e-09,True,sign_lost_not_trajectory_reconstructable
sample_000077,-0.08260193701081373,0.24036082165467812,-0.03414862440815279,0.24118499631832443,0.26785714285714285,0.2857142857142857,0.3482142857142857,0.11160714285714286,0.4330357142857143,0.53125,1.8256304435044796e-09,1.665151343978564e-09,True,sign_lost_not_trajectory_reconstructable
sample_000078,0.13242858180912542,0.22480467398971177,0.1912648874705368,0.23978875568394134,0.16071428571428573,0.19196428571428573,0.3125,0.013392857142857142,0.08035714285714286,0.1875,2.1140378233675706e-09,2.4404875982491566e-09,True,sign_lost_not_trajectory_reconstructable
sample_000079,0.0534598376481853,0.2265758027630373,-0.11322169034061438,0.22122737803234066,0.3482142857142857,0.35714285714285715,0.41517857142857145,0.017857142857142856,0.375,0.45982142857142855,1.4839984326729265e-09,1.587670075616944e-09,True,sign_lost_not_trajectory_reconstructable
sample_000080,0.2293933086968287,0.32094761501964175,0.06703142273115863,0.21450350099404558,0.16517857142857142,0.1875,0.21428571428571427,0.004464285714285714,0.16964285714285715,0.25,3.2210661088790377e-09,1.6467284030128082e-09,True,sign_lost_not_trajectory_reconstructable
sample_000081,0.07269499865053132,0.19657278017102034,-0.16589361324906823,0.24096713599335567,0.18303571428571427,0.22767857142857142,0.29017857142857145,0.0625,0.25892857142857145,0.33482142857142855,1.7218857091102097e-09,2.1577338001488153e-09,True,sign_lost_not_trajectory_reconstructable
sample_000082,0.2726970747607314,0.27803535061252643,0.18700331643826937,0.2237555865844029,0.09821428571428571,0.14732142857142858,0.21428571428571427,0.008928571428571428,0.08928571428571429,0.19196428571428573,3.688396635691775e-09,2.2679516742658494e-09,True,sign_lost_not_trajectory_reconstructable
sample_000083,0.0952662092303889,0.1979946345997096,0.01885442087478743,0.21975209939035525,0.08928571428571429,0.18303571428571427,0.3169642857142857,0.0625,0.10714285714285714,0.29464285714285715,1.770464853553066e-09,1.605079913408582e-09,True,sign_lost_not_trajectory_reconstructable
sample_000084,-0.21057466730333774,0.22387329520096294,0.10285651711407172,0.22640242284392573,0.06696428571428571,0.09375,0.16964285714285715,0.09375,0.1875,0.32142857142857145,2.5069043768831075e-09,1.7511717359332854e-09,True,sign_lost_not_trajectory_reconstructable
sample_000085,-0.15724328897377596,0.18940051424194168,0.10823138935819498,0.19724049173452265,0.375,0.42410714285714285,0.48214285714285715,0.026785714285714284,0.32589285714285715,0.42410714285714285,1.7112272519620803e-09,1.7715727103988975e-09,True,sign_lost_not_trajectory_reconstructable
