sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000275,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000276,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000277,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000278,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000279,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000280,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000281,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000282,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000283,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000284,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000285,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000286,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000287,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000288,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000289,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000290,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000291,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000292,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000293,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000294,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000295,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000296,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000297,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000298,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000299,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000300,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000301,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000302,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000303,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000304,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000305,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000306,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000307,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000308,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000309,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000310,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000311,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000312,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000313,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000314,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000315,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000316,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000317,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000318,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000319,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000320,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000321,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000322,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000323,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000324,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000325,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000326,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000327,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000328,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000329,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000330,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000331,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000332,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000333,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000334,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000335,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
